ID,特訓名,タイプ,打撃,筋力,走塁,肩力,球速,コントロール,スタミナ,変化球,守備,精神,筋力,技術,敏捷,変化球,精神,コツ,取得
0,雑巾がけ,0,,1,1,,,,,,,1,,,10,,10,,敏捷+10　精神+10
1,キャベツの千切り,0,3,,,,,,,,,,,30,,,,,技術+30
2,タイマンスクワット,0,,3,,,,,,,,,30,,,,,,筋力+30
3,だるまさんがころんだ,0,,,3,,,,,,,,,,30,,,,敏捷+30
4,片手うんてい,0,,,,3,,,,,,,30,,,,,,筋力+30
5,草むしり,0,,,,,,,,,3,,,30,,,,,技術+30
6,座禅,0,,,,,,,,,,3,,,,,30,,精神+30
7,捕手リード学習,0,1,,,,,1,,,1,,,10,,,20,1,技術+10　精神+20　キャッチャーコツLv2
8,ニュートン力学講座,0,1,,1,,,,,,1,1,,20,,,10,,技術+20　精神+10
9,ブレイクダンス,0,1,1,,1,,,,,1,,10,,20,,,,筋力+10　敏捷+20
10,昆虫採集,0,2,,1,1,,,,,,,,10,10,,,1,敏捷+10　技術+10　ハイボールヒッターコツLv2
11,石炭採掘,0,4,,,,,,,,,,20,20,,,,,筋力+20　技術+20
12,鉄球で打撃練習,0,1,2,,1,,,,,,,10,10,,,,1,筋力+10　技術+10　固め打ちコツLv2
13,クマと相撲,0,,4,,,,,,,,,10,,30,,,,筋力+10　精神+30
14,キックボクシング,0,,1,2,,,,,,1,,10,,10,,,1,筋力+10　敏捷+10　ゲッツー崩しコツLv2
15,ビーチフラッグス,0,,,4,,,,,,,,,,20,,20,,敏捷+20　精神+20
16,カウボーイロデオ,0,1,,,2,,,,,,1,,10,,,10,1,技術+10　精神+10　悪球打ちコツLv2
17,渓流釣り,0,,,,4,,,,,,,10,30,,,,,筋力+10　技術+30
18,背走ダッシュ,0,,,1,,,,,,2,1,,,10,,10,1,敏捷+10　精神+10　帳尻合わせコツLv2
19,新体操,0,,,,,,,,,4,,,,30,,10,,敏捷+30　技術+10
20,水泳高飛び込み,0,,1,,,,,,,1,2,10,,,,10,1,筋力+10　精神+10　逆境コツLv2
21,野球小説の執筆,0,,,,,,,,,,4,,10,,,30,,技術+10　精神+30
22,ウインドサーフィン,0,,,2,1,,,,1,,,,,40,,,,敏捷+40
23,SG式防衛訓練,0,,,,1,,,1,,1,1,,20,20,,,1,敏捷+20　技術+20　高速チャージコツLv2
24,ボクシング,0,3,2,,,,,,,,,30,20,,,20,,筋力+30　技術+10　精神+10
25,バットでバドミントン,0,5,,,,,,,,,,,60,,,,1,技術+60　アベレージヒッターコツLv2
26,ラグビー,0,,3,2,,,,,,,,10,,30,,10,,筋力+10敏捷+30　技術+10
27,日本刀素振り,0,,5,,,,,,,,,60,,,,,1,筋力+60　パワーヒッターコツLv2
28,陸上十種競技,0,,,3,2,,,,,,,10,10,30,,,,筋力+10　敏捷+30　技術+10
29,特急列車と競争,0,,,5,,,,,,,,,,60,,,1,敏捷+60　盗塁コツLv2
30,水球,0,,,,3,,,,,2,,10,20,20,,,,筋力+10　敏捷+20　技術+20
31,巨大空中ブランコ,0,,,,5,,,,,,,60,,,,,1,筋力+60　送球コツLv2
32,ワニの飼育,0,,,,,,,,,3,2,,10,10,,30,,敏捷+10　技術+10　精神+30
33,裸足でアイスホッケー,0,,,,,,,,,5,,,60,,,,1,技術+60　守備職人コツLv2
34,綱渡り,0,2,,,,,,,,,3,,10,20,,20,,敏捷+20　技術+10　精神＋20
35,スカイダイビング,0,,,,,,,,,,5,,,,,60,1,精神＋60　チャンスコツLv2
36,豪速球打撃マシン,0,1,2,,,1,,,,,1,30,20,,,10,,筋力+30　技術+20　精神+10
37,5泊6日灼熱南国合宿,0,1,1,1,1,,,,,1,1,30,30,30,,30,,筋力+30　敏捷+30　技術+30　精神+30
38,打撃の神髄,0,2,2,,,,,,,,2,50,,,,50,1,筋力+50　精神+50　勝負師コツLv2
39,知恵の輪,1,,,,,,1,,1,,1,,,,10,10,,変化球+10　精神+10
40,空気イス,1,,,,,3,,,,,,30,,,,,,筋力+30
41,けん玉,1,,,,,,3,,,,,,30,,,,,技術+30
42,阿波踊り,1,,,,,,,3,,,,30,,,,,,筋力+30
43,流体力学講座,1,,,,,,,,3,,,,,,30,,,変化球+30
44,柔道受け身練習,1,,,,,,,,,3,,,,30,,,,敏捷+30
45,街のゴミ拾い,1,,,,,,,,,,3,,,,,30,,精神+30
46,校長室の模様替え,1,,1,,,1,,,1,,,10,20,,,,,筋力+10　技術+20
47,和太鼓演舞,1,,,,,1,1,1,,1,,10,20,,,10,,筋力+10　技術+20　精神+10
48,ロッククライミング,1,,,,,1,,1,1,,1,10,20,,,,,筋力+10　技術+20
49,激流川下り,1,,,,,2,,1,1,,,10,,,10,,1,筋力+10　変化球+10　バント封じコツLv2
50,綱引き,1,,,,,4,,,,,,10,30,,,,,筋力+10　技術+30
51,火の輪くぐり,1,,,,,,2,,,1,1,,10,,,10,1,技術+10　精神+10　緊急登板コツLv2
52,弓道,1,,,,,,4,,,,,,10,,,30,,技術+10　精神+30
53,素潜り,1,,,,,1,,2,,,1,,10,,,10,1,技術+10　精神+10　ポーカーフェイスコツLv2
54,人間ドック,1,,,,,,,4,,,,10,,,,30,,筋力+10　精神+30
55,カーリング,1,,,,,1,1,,2,,,,10,,10,,1,技術+10　変化球+10　リリース○コツLv2
56,スプーン曲げ,1,,,,,,,,4,,,,,,10,30,,変化球+10　精神+30
57,ビーチバレー,1,,,,,,1,,1,2,,10,,,10,,1,筋力+10　変化球+10　打球反応○コツLv2
58,エアホッケー,1,,,,,,,,,4,,,20,,,20,,技術+20　精神+20
59,神社へお百度参り,1,,,,,,,1,,1,2,10,,,,10,1,筋力+10　精神+10　勝ち運コツLv2
60,絶叫マシン巡り,1,,,,,,,,,,4,,,,30,10,,変化球+30　精神+10
61,野球ボールでバスケ,1,,,,1,1,1,,1,,,,20,,20,,,技術+20　変化球+20
62,トライアスロン,1,,,1,,,,2,,,1,20,10,,,10,,筋力+20　技術+10　精神+10
63,ボールジャグリング,1,,,,,3,2,,,,,10,20,,20,,,筋力+10　技術+20　変化球+20
64,巨大タル転がし,1,,,,,5,,,,,,60,,,,,1,筋力+60　ノビコツLv2
65,レンジャー部隊特訓,1,,,,,,3,2,,,,10,30,,10,,,筋力+10　技術+30　変化球+10
66,密林サバイバルゲーム,1,,,,,,5,,,,,,60,,,,1,技術+60　逃げ球コツLv2
67,ボウリング,1,,,,,,,3,2,,,10,,,30,10,,筋力+10　変化球+30　精神+10
68,高地トレーニング,1,,,,,,,5,,,,60,,,,,1,筋力+60　根性コツLv2
69,フライングディスク,1,,,,,,,,3,2,,,20,10,20,,,敏捷+10　技術+20　変化球+20
70,鉄棒ムーンサルト,1,,,,,,,,5,,,,,,60,,1,変化球+60　キレコツLv2
71,闘牛,1,,,,,,,,,3,2,,,10,20,20,,敏捷+10　変化球+20　精神+20
72,目隠しドッジボール,1,,,,,,,,,5,,,60,,,,1,技術+60　球持ちコツLv2
73,サメと競泳,1,,,,,2,,,,,3,20,10,,,20,,筋力+20　技術+10　精神＋20
74,真夜中墓地肝試し,1,,,,,,,,,,5,,,,,60,1,精神+60　対ピンチコツLv2
75,二刀流トレーニング,1,1,,,,,1,,,2,1,,,30,30,,1,敏捷+30　変化球+30　パワーヒッターコツLv2
76,5泊6日極寒雪国合宿,1,,,,,1,1,1,1,1,1,30,30,,30,30,,筋力+30　技術+30　変化球+30　精神+30
77,投球の極意,1,,,,,2,2,,2,,,50,,,50,,1,筋力+50　変化球+50　怪童コツLv2
